Source	Target	Weight
Euk_ASV_1	Euk_ASV_9	0.141053362407253
Euk_ASV_5	Euk_ASV_9	0.244723157970126
Euk_ASV_8	Euk_ASV_9	0.305915026783855
Euk_ASV_1	Euk_ASV_13	0.234814988679138
Euk_ASV_5	Euk_ASV_13	0.290247591201493
Euk_ASV_1	Euk_ASV_17	0.138951749754878
Euk_ASV_11	Euk_ASV_19	0.344659061118302
Euk_ASV_4	Euk_ASV_20	0.193031627340467
Euk_ASV_1	Euk_ASV_21	0.16792855180183
Euk_ASV_12	Euk_ASV_29	0.189379218997153
Euk_ASV_2	Euk_ASV_31	0.131804783577692
Euk_ASV_6	Euk_ASV_32	0.331643694835736
Euk_ASV_28	Euk_ASV_32	0.318291965616194
Euk_ASV_30	Euk_ASV_32	0.197217232621761
Euk_ASV_10	Euk_ASV_33	0.142816937191891
Euk_ASV_30	Euk_ASV_33	0.38900209341979
Euk_ASV_29	Euk_ASV_36	0.188067428490861
Euk_ASV_4	Euk_ASV_37	0.150105142373876
Euk_ASV_29	Euk_ASV_38	0.21538188916924
Euk_ASV_32	Euk_ASV_44	0.163909366563123
Euk_ASV_38	Euk_ASV_44	0.164952501418888
Euk_ASV_27	Euk_ASV_45	0.295494105531423
Euk_ASV_15	Euk_ASV_47	0.243514968405781
Euk_ASV_15	Euk_ASV_50	0.249556698109283
Euk_ASV_28	Euk_ASV_50	0.257779996913853
Euk_ASV_32	Euk_ASV_50	0.208814701137543
Euk_ASV_22	Euk_ASV_51	0.143743842747508
Euk_ASV_6	Euk_ASV_53	0.365999913941825
Euk_ASV_20	Euk_ASV_53	0.24365229851317
Euk_ASV_11	Euk_ASV_54	0.754983305931091
Euk_ASV_4	Euk_ASV_55	0.201855875696383
Euk_ASV_10	Euk_ASV_55	0.156435493755029
Euk_ASV_38	Euk_ASV_55	0.136003675328587
Euk_ASV_22	Euk_ASV_57	0.236239491400168
Euk_ASV_6	Euk_ASV_59	0.13511680075139
Euk_ASV_1	Euk_ASV_63	0.149546157279299
Euk_ASV_8	Euk_ASV_63	0.266071286955575
Euk_ASV_16	Euk_ASV_67	0.176080307599681
Euk_ASV_33	Euk_ASV_72	0.135916494325177
Euk_ASV_19	Euk_ASV_73	0.5897095110064
Euk_ASV_54	Euk_ASV_73	0.283873677253723
Euk_ASV_6	Euk_ASV_76	0.133156332793451
Euk_ASV_17	Euk_ASV_76	-0.153115576505186
Euk_ASV_30	Euk_ASV_76	0.196973218988575
Euk_ASV_32	Euk_ASV_76	0.165431915035328
Euk_ASV_72	Euk_ASV_76	0.262802561103476
Euk_ASV_44	Euk_ASV_78	0.181048752265045
Euk_ASV_29	Euk_ASV_79	0.197372060182145
Euk_ASV_78	Euk_ASV_82	0.181406930150116
Euk_ASV_29	Euk_ASV_84	0.414581656137455
Euk_ASV_43	Euk_ASV_84	0.144725206918023
Euk_ASV_55	Euk_ASV_84	0.142215251177912
Euk_ASV_30	Euk_ASV_85	0.13902491283159
Euk_ASV_55	Euk_ASV_85	0.155376125892605
Euk_ASV_79	Euk_ASV_85	0.347729491214827
Euk_ASV_82	Euk_ASV_88	0.140851323130967
Euk_ASV_23	Euk_ASV_89	0.442427127234731
Euk_ASV_5	Euk_ASV_90	0.176103764142092
Euk_ASV_27	Euk_ASV_90	0.367059896399679
Euk_ASV_80	Euk_ASV_90	0.226681698144844
Euk_ASV_4	Euk_ASV_93	0.171413745560618
Euk_ASV_6	Euk_ASV_93	0.245059821002769
Euk_ASV_33	Euk_ASV_93	0.297898262816187
Euk_ASV_72	Euk_ASV_93	0.165301594432096
Euk_ASV_32	Euk_ASV_94	0.13325775447616
