Sample	depth	layer	OceanRegion	Latitude	Longitude	OceanRegion_Layer
MalaSurf_MD1186_3m	3	SRF	IO	-30.333	103.308	IO_SRF
MalaSurf_MD1209_3m	3	SRF	IO	-30.328	103.317	IO_SRF
MalaSurf_MD1222_3m	3	SRF	IO	-30.811	107.237	IO_SRF
MalaSurf_MD1246_3m	3	SRF	IO	-31.134	110.207	IO_SRF
MalaSurf_MD1254_3m	3	SRF	IO	-31.554	113.467	IO_SRF
MalaSurf_MD1260_3m	3	SRF	IO	-31.554	113.467	IO_SRF
MalaSurf_MD1293_3m	3	SRF	IO	-35.983	117.407	IO_SRF
MalaSurf_MD1302_3m	3	SRF	IO	-36.639	120.856	IO_SRF
MalaSurf_MD1318_3m	3	SRF	IO	-37.239	124.898	IO_SRF
MalaSurf_MD1324_3m	3	SRF	IO	-37.239	124.898	IO_SRF
MalaSurf_MD1331_3m	3	SRF	IO	-37.889	127.75	IO_SRF
MalaSurf_MD1354_3m	3	SRF	IO	-38.578	131.507	IO_SRF
MalaSurf_MD1368_3m	3	SRF	IO	-39.243	135.139	IO_SRF
MalaSurf_MD1398_3m	3	SRF	IO	-39.867	138.735	IO_SRF
MalaSurf_MD141_3m	3	SRF	NAO	14.52	-26	NAO_SRF
MalaSurf_MD1421_3m	3	SRF	IO	-40.55	142.497	IO_SRF
MalaSurf_MD1425_3m	3	SRF	SPO	-38.621	150.417	SPO_SRF
MalaSurf_MD1459_3m	3	SRF	SPO	-36.642	151.006	SPO_SRF
MalaSurf_MD1475_5m	5	SRF	SPO	-34.056	176.016	SPO_SRF
MalaSurf_MD1479_5m	5	SRF	SPO	-28.406	179.141	SPO_SRF
MalaSurf_MD1490_3m	3	SRF	SPO	-25.49	-179.524	SPO_SRF
MalaSurf_MD1517_3m	3	SRF	SPO	-23.377	-178.211	SPO_SRF
MalaSurf_MD1537_3m	3	SRF	SPO	-18.561	-175.823	SPO_SRF
MalaSurf_MD1559_3m	3	SRF	SPO	-15.903	-174.487	SPO_SRF
MalaSurf_MD1589_3m	3	SRF	SPO	-13.531	-173.372	SPO_SRF
MalaSurf_MD1607_3m	3	SRF	SPO	-11.242	-172.63	SPO_SRF
MalaSurf_MD1629_3m	3	SRF	SPO	-9.474	-172.298	SPO_SRF
MalaSurf_MD1672_3m	3	SRF	SPO	-3.41	-169.463	SPO_SRF
MalaSurf_MD1700_3m	3	SRF	SPO	-1.303	-168.354	SPO_SRF
MalaSurf_MD1724_3m	3	SRF	NPO	1.599	-166.85	NPO_SRF
MalaSurf_MD1744_3m	3	SRF	NPO	3.748	-165.773	NPO_SRF
MalaSurf_MD1772_3m	3	SRF	NPO	6.992	-164.372	NPO_SRF
MalaSurf_MD1798_3m	3	SRF	NPO	9.201	-163.495	NPO_SRF
MalaSurf_MD1811_3m	3	SRF	NPO	11.593	-162.41	NPO_SRF
MalaSurf_MD1857_3m	3	SRF	NPO	21.89	-155.664	NPO_SRF
MalaSurf_MD1885_3m	3	SRF	NPO	21.57	-153.418	NPO_SRF
MalaSurf_MD1887_3m	3	SRF	NPO	21.064	-150.319	NPO_SRF
MalaSurf_MD1928_3m	3	SRF	NPO	20.784	-148.269	NPO_SRF
MalaSurf_MD1956_3m	3	SRF	NPO	19.892	-141.59	NPO_SRF
MalaSurf_MD1964_3m	3	SRF	NPO	19.279	-138.965	NPO_SRF
MalaSurf_MD196_3m	3	SRF	NAO	9.564	-25.993	NAO_SRF
MalaSurf_MD2004_3m	3	SRF	NPO	18.653	-136.178	NPO_SRF
MalaSurf_MD2008_3m	3	SRF	NPO	18.028	-133.26	NPO_SRF
MalaSurf_MD202_3m	3	SRF	NAO	7.324	-25.996	NAO_SRF
MalaSurf_MD2047_3m	3	SRF	NPO	17.37	-130.611	NPO_SRF
MalaSurf_MD2051_3m	3	SRF	NPO	15.909	-124.47	NPO_SRF
MalaSurf_MD2094_3m	3	SRF	NPO	14.529	-118.774	NPO_SRF
MalaSurf_MD2111_3m	3	SRF	NPO	13.804	-115.756	NPO_SRF
MalaSurf_MD214_3m	3	SRF	NAO	4.989	-26.005	NAO_SRF
MalaSurf_MD2151_3m	3	SRF	NPO	13.205	-113.256	NPO_SRF
MalaSurf_MD2155_3m	3	SRF	NPO	12.001	-108.076	NPO_SRF
MalaSurf_MD2215_3m	3	SRF	NPO	11.354	-105.011	NPO_SRF
MalaSurf_MD2243_3m	3	SRF	NPO	10.759	-102.442	NPO_SRF
MalaSurf_MD2247_3m	3	SRF	NPO	10.093	-99.246	NPO_SRF
MalaSurf_MD2304_3m	3	SRF	NPO	9.446	-96.341	NPO_SRF
MalaSurf_MD2332_3m	3	SRF	NPO	8.142	-90.365	NPO_SRF
MalaSurf_MD2340_3m	3	SRF	NPO	7.224	-87.96	NPO_SRF
