Sample	depth	layer	OceanRegion	Latitude	Longitude	OceanRegion_Layer
Hotmix_HM071_86m	86	DCM	MS	37.815	18.173	MS_DCM
Hotmix_HM072_50m	50	EPI	MS	37.815	18.173	MS_EPI
Hotmix_HM073_3m	3	SRF	MS	37.815	18.173	MS_SRF
Hotmix_HM074_500m	500	MES	MS	37.815	18.173	MS_MES
Hotmix_HM075_200m	200	MES	MS	37.815	18.173	MS_MES
Hotmix_HM076_2000m	2000	BAT	MS	36	17.417	MS_BAT
Hotmix_HM077_3000m	3000	BAT	MS	36	17.417	MS_BAT
Hotmix_HM078_1000m	1000	MES	MS	36	17.417	MS_MES
Hotmix_HM079_120m	120	DCM	MS	36	17.416	MS_DCM
Hotmix_HM080_50m	50	EPI	MS	36	17.416	MS_EPI
Hotmix_HM081_3m	3	SRF	MS	36	17.416	MS_SRF
Hotmix_HM083_200m	200	MES	MS	36	17.416	MS_MES
Hotmix_HM084_300m	300	MES	MS	36	13	MS_MES
Hotmix_HM085_95m	95	DCM	MS	36	13	MS_DCM
Hotmix_HM086_3m	3	SRF	MS	36	13	MS_SRF
Hotmix_HM087_400m	400	MES	MS	37.845	11.419	MS_MES
Hotmix_HM088_40m	40	DCM	MS	37.845	11.419	MS_DCM
Hotmix_HM089_3m	3	SRF	MS	37.845	11.419	MS_SRF
Hotmix_HM090_3165m	3165	BAT	MS	39.579	11.413	MS_BAT
Hotmix_HM091_2000m	2000	BAT	MS	39.579	11.413	MS_BAT
Hotmix_HM092_900m	900	MES	MS	39.579	11.413	MS_MES
Hotmix_HM093_75m	75	DCM	MS	39.579	11.412	MS_DCM
Hotmix_HM094_50m	50	EPI	MS	39.579	11.412	MS_EPI
Hotmix_HM095_3m	3	SRF	MS	39.579	11.412	MS_SRF
Hotmix_HM096_650m	650	MES	MS	39.583	11.417	MS_MES
Hotmix_HM097_200m	200	MES	MS	39.583	11.417	MS_MES
Hotmix_HM098_75m	75	DCM	MS	41.25	10.584	MS_DCM
Hotmix_HM100_3m	3	SRF	MS	41.25	10.584	MS_SRF
Hotmix_HM101_1407m	1407	BAT	MS	41.25	10.584	MS_BAT
Hotmix_HM102_1000m	1000	MES	MS	41.25	10.584	MS_MES
Hotmix_HM103_525m	525	MES	MS	41.25	10.584	MS_MES
Hotmix_HM104_400m	400	MES	MS	41.25	10.584	MS_MES
Hotmix_HM105_1500m	1500	BAT	MS	41.489	7.492	MS_BAT
Hotmix_HM106_50m	50	EPI	MS	41.489	7.492	MS_EPI
Hotmix_HM107_2881m	2881	BAT	MS	40.182	6.492	MS_BAT
Hotmix_HM108_2000m	2000	BAT	MS	40.182	6.492	MS_BAT
Hotmix_HM109_1000m	1000	MES	MS	40.182	6.492	MS_MES
Hotmix_HM110_60m	60	DCM	MS	40.182	6.492	MS_DCM
Hotmix_HM111_50m	50	EPI	MS	40.182	6.492	MS_EPI
Hotmix_HM112_3m	3	SRF	MS	40.182	6.492	MS_SRF
Hotmix_HM113_600m	600	MES	MS	40.182	6.492	MS_MES
Hotmix_HM114_350m	350	MES	MS	40.182	6.492	MS_MES
Hotmix_HM115_2885m	2885	BAT	MS	38.6	7.025	MS_BAT
Hotmix_HM116_2000m	2000	BAT	MS	38.6	7.025	MS_BAT
Hotmix_HM117_1000m	1000	MES	MS	38.6	7.025	MS_MES
Hotmix_HM118_60m	60	DCM	MS	38.6	7.025	MS_DCM
Hotmix_HM119_50m	50	EPI	MS	38.6	7.025	MS_EPI
Hotmix_HM120_3m	3	SRF	MS	38.6	7.025	MS_SRF
Hotmix_HM121_600m	600	MES	MS	38.6	7.025	MS_MES
Hotmix_HM122_400m	400	MES	MS	38.6	7.025	MS_MES
Hotmix_HM123_2861m	2861	BAT	MS	38.413	5.215	MS_BAT
Hotmix_HM124_2000m	2000	BAT	MS	38.413	5.215	MS_BAT
Hotmix_HM125_1000m	1000	MES	MS	38.413	5.215	MS_MES
Hotmix_HM126_65m	65	DCM	MS	38.413	5.215	MS_DCM
Hotmix_HM127_50m	50	EPI	MS	38.413	5.215	MS_EPI
Hotmix_HM128_3m	3	SRF	MS	38.413	5.215	MS_SRF
Hotmix_HM129_600m	600	MES	MS	38.413	5.215	MS_MES
Hotmix_HM130_450m	450	MES	MS	38.413	5.215	MS_MES
