"PhylumDivision"	"ID"	"Kingdom"	"color"
"Actinobacteria"	"Prok_ASV_2327"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_1927"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_198"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_2195"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_418"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_1521"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_295"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_1668"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_176"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_803"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_47"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_209"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_2174"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_670"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_10012"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_2"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_2205"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_1700"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_2847"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_693"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_577"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_100"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_1840"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_154"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_1230"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_2775"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_1933"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_1745"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_950"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_2308"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_710"	"Bacteria"	"#F7FCB9"
